temp,humidity,label
8.0,77.0,1
8.9,79.0,1
9.8,81.0,1
10.7,80.0,1
15.5,83.0,1
16.0,84.0,1
18.0,90.0,1
18.3,90.0,1
18.5,90.0,1
18.6,90.0,1
18.7,90.0,1
18.7,90.0,1
18.6,90.0,1
18.5,90.0,1
18.4,90.0,1
18.3,90.0,1
18.1,90.0,1
18.0,90.0,1
17.8,89.0,1
17.6,89.0,1
17.4,88.0,1
17.1,87.0,1
17.0,87.0,1
16.8,87.0,1
16.6,87.0,1
16.3,85.0,1
16.1,85.0,1
16.0,84.0,1
15.7,85.0,1
15.5,84.0,1
15.3,84.0,1
15.0,84.0,1
14.9,87.0,1
14.7,87.0,1
14.5,86.0,1
14.3,86.0,1
14.0,85.0,1
14.0,85.0,1
13.7,85.0,1
13.5,85.0,1
13.3,85.0,1
13.1,85.0,1
13.0,84.0,1
12.9,84.0,1
12.7,84.0,1
12.5,83.0,1
12.3,83.0,1
12.1,82.0,1
12.0,82.0,1
11.8,82.0,1
11.7,82.0,1
11.5,81.0,1
11.3,80.0,1
11.1,81.0,1
11.0,80.0,1
10.9,80.0,1
10.8,80.0,1
10.1,78.0,2
10.0,78.0,2
9.9,80.0,2
9.8,80.0,2
9.6,80.0,2
9.5,79.0,2
9.4,79.0,2
9.3,79.0,2
9.2,78.0,2
9.0,78.0,2
9.0,78.0,2
8.9,77.0,2
8.8,77.0,2
8.7,77.0,2
8.6,76.0,2
8.5,76.0,2
8.4,75.0,2
8.3,75.0,2
8.3,76.0,2
8.5,78.0,2
-50.0,0.0,2
-50.0,0.0,2
-50.0,0.0,2
-50.0,0.0,2
0.0,0.0,2
0.0,0.0,2
-3.5,45.0,0
85.0,10.0,2
-3.4,45.2,0
-40.0,100.0,2
-3.5,45.1,0
20.0,0.0,2
-3.5,45.0,0
-3.0,100.0,2
-3.1,100.0,2
-3.0,100.0,2
-3.2,100.0,2
-2.9,-10.0,2
-3.0,-10.0,2
-10.5,45.0,2
-12.0,44.0,2
-15.5,43.0,2
-18.0,40.0,2
-20.0,38.0,2
-22.0,35.0,2
-10.0,90.0,2
-10.5,95.0,2
-11.0,98.0,2
-11.5,99.0,2
